 AX   BX   CX   DX   SP   BP   SI   DI  FLAGS IP
0001 0030 000c 0001 ffa4 ffbc 0000 14e5 -S-- 0112:8b5606       mov dx, [bp+6] ;[ffc2]ffca
0001 0030 000c ffca ffa4 ffbc 0000 14e5 -S-- 0115:8956f2       mov [bp-e], dx ;[ffae]ffca
0001 0030 000c ffca ffa4 ffbc 0000 14e5 -S-- 0118:8d46e8       lea ax, [bp-18] ;[ffa4]0000
ffa4 0030 000c ffca ffa4 ffbc 0000 14e5 -S-- 011b:50           push ax
ffa4 0030 000c ffca ffa2 ffbc 0000 14e5 -S-- 011c:b80400       mov ax, 0004
0004 0030 000c ffca ffa2 ffbc 0000 14e5 -S-- 011f:50           push ax
0004 0030 000c ffca ffa0 ffbc 0000 14e5 -S-- 0120:b80100       mov ax, 0001
0001 0030 000c ffca ffa0 ffbc 0000 14e5 -S-- 0123:50           push ax
0001 0030 000c ffca ff9e ffbc 0000 14e5 -S-- 0124:e80600       call 012d
0001 0030 000c ffca ff9c ffbc 0000 14e5 -S-- 012d:55           push bp
0001 0030 000c ffca ff9a ffbc 0000 14e5 -S-- 012e:89e5         mov bp, sp
0001 0030 000c ffca ff9a ff9a 0000 14e5 -S-- 0130:56           push si
0001 0030 000c ffca ff98 ff9a 0000 14e5 -S-- 0131:57           push di
0001 0030 000c ffca ff96 ff9a 0000 14e5 -S-- 0132:8b7608       mov si, [bp+8] ;[ffa2]ffa4
0001 0030 000c ffca ff96 ff9a ffa4 14e5 -S-- 0135:8b5606       mov dx, [bp+6] ;[ffa0]0004
0001 0030 000c 0004 ff96 ff9a ffa4 14e5 -S-- 0138:895402       mov [si+2], dx ;[ffa6]0001
0001 0030 000c 0004 ff96 ff9a ffa4 14e5 -S-- 013b:56           push si
0001 0030 000c 0004 ff94 ff9a ffa4 14e5 -S-- 013c:ff7604       push [bp+4] ;[ff9e]0001
0001 0030 000c 0004 ff92 ff9a ffa4 14e5 -S-- 013f:e82f00       call 0171
